epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0727,0.97009,1.46327,1.06115,0.99604,0.24766,0.29911,0.20495,0.99618,0.90204,0.95884,0.00041358,0.00041358,0.00041358
2,83.3701,0.76209,0.6717,0.96582,0.81985,0.4947,0.53539,0.42146,0.47236,0.52316,0.85759,0.000813808,0.000813808,0.000813808
3,122.496,0.73439,0.58738,0.95808,0.91001,0.55035,0.57935,0.43704,0.42182,0.4333,0.84529,0.00119754,0.00119754,0.00119754
4,160.594,0.68848,0.52805,0.93928,0.79707,0.56756,0.55796,0.43002,0.50804,0.39679,0.85286,0.00117575,0.00117575,0.00117575
5,199.252,0.65302,0.48526,0.92885,0.75965,0.58119,0.59942,0.44084,0.40698,0.35274,0.84073,0.001151,0.001151,0.001151
6,237.763,0.65256,0.46482,0.92702,0.9712,0.49834,0.55984,0.45719,0.39123,0.33417,0.83645,0.00112625,0.00112625,0.00112625
7,275.964,0.62284,0.44393,0.91761,0.66379,0.62773,0.61737,0.48105,0.38216,0.31093,0.83528,0.0011015,0.0011015,0.0011015
8,314.466,0.62722,0.43318,0.92048,0.74201,0.59474,0.59494,0.46351,0.41806,0.3269,0.84515,0.00107675,0.00107675,0.00107675
9,351.839,0.60946,0.41027,0.91303,0.5475,0.56727,0.56447,0.46649,0.41772,0.29582,0.83943,0.001052,0.001052,0.001052
10,390.135,0.59512,0.39649,0.90812,0.59686,0.60395,0.61577,0.46904,0.32539,0.27144,0.8248,0.00102725,0.00102725,0.00102725
11,428.788,0.59141,0.39274,0.90759,0.92609,0.55486,0.58444,0.47755,0.42324,0.29528,0.83593,0.0010025,0.0010025,0.0010025
12,466.399,0.57766,0.37481,0.90297,0.50991,0.5617,0.54019,0.45845,0.33276,0.26594,0.8239,0.00097775,0.00097775,0.00097775
13,504.784,0.5709,0.37171,0.90182,0.63089,0.64474,0.62677,0.50085,0.32632,0.24982,0.82378,0.000953,0.000953,0.000953
14,542.971,0.56874,0.37469,0.89859,0.59137,0.62073,0.57984,0.46415,0.36539,0.27488,0.82792,0.00092825,0.00092825,0.00092825
15,581.395,0.56029,0.36391,0.901,0.61705,0.59381,0.62234,0.48945,0.3614,0.26424,0.82809,0.0009035,0.0009035,0.0009035
16,619.413,0.55534,0.35722,0.89526,0.86173,0.56848,0.60785,0.48972,0.31685,0.24294,0.82282,0.00087875,0.00087875,0.00087875
17,657.306,0.54289,0.34469,0.8921,0.60223,0.61416,0.60731,0.47938,0.34204,0.24077,0.82255,0.000854,0.000854,0.000854
18,695.123,0.53167,0.3409,0.88835,0.58135,0.66951,0.61127,0.4832,0.31554,0.23612,0.82182,0.00082925,0.00082925,0.00082925
19,733.313,0.53044,0.33652,0.88815,0.96523,0.47893,0.53968,0.44886,0.32171,0.24293,0.82324,0.0008045,0.0008045,0.0008045
20,771.504,0.52563,0.33012,0.88753,0.5518,0.60825,0.57148,0.4761,0.31432,0.22915,0.81915,0.00077975,0.00077975,0.00077975
21,810.28,0.52244,0.32917,0.88637,0.60915,0.58784,0.57008,0.48074,0.31451,0.23007,0.82164,0.000755,0.000755,0.000755
22,848.86,0.51808,0.32717,0.88391,0.74677,0.65561,0.61076,0.48863,0.31092,0.22448,0.82117,0.00073025,0.00073025,0.00073025
23,887.184,0.52067,0.32435,0.88366,0.64409,0.70124,0.6432,0.49274,0.32096,0.22723,0.82035,0.0007055,0.0007055,0.0007055
